Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
2_4546_4861,0.0,0.0,0.0,0.0,0.0,0.2464989572763443,0.29835936427116394,0.0,0.0,0.28534984588623047,0.02872374653816223,0.14016033709049225
1_4546_4820,0.0,0.0,0.0,0.0,0.9927248954772949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_4631_4848,0.2719486653804779,0.0,0.0,0.0,0.0,0.0,0.0,0.21871446073055267,0.0,0.16202931106090546,0.10833455622196198,0.23804113268852234
2_4631_4861,0.0,0.0,0.0,0.0,0.0,0.64958256483078,0.0,0.0,0.0,0.23211102187633514,0.11621923744678497,0.0
2_4654_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684047341346741,0.42686042189598083,0.0
2_4654_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.19463172554969788,0.5601016879081726,0.0,0.24409954249858856,0.0,0.0
1_4654_4820,0.0,0.0,0.0,0.5760587453842163,0.24257314205169678,0.0,0.0,0.0,0.17816759645938873,0.0,0.0,0.0
2_4665_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288809537887573,0.46450531482696533,0.0
2_4665_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7925844192504883,0.20594756305217743,0.0
1_4665_4820,0.0,0.0,0.0,0.4075309932231903,0.5883230566978455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_4935_4848,0.6866388916969299,0.0,0.0,0.0,0.0,0.0,0.0,0.08258309215307236,0.0,0.15842443704605103,0.0715382844209671,0.0
2_4935_58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991615891456604,0.0,0.0
2_4947_4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15169760584831238,0.0,0.8470384478569031
2_4955_4848,0.10165669023990631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8966518640518188
