Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,cluster,pet_max,pet_min,pet_mean,pet_std,dist_max,dist_std,dist_mean,dist_min,vel_max,vel_mean,vel_min,vel_std
1_7023_7901,0.0,0.0,0.0,0.0,0.0,0.07896117120981216,0.1316697746515274,0.0,0.5181538462638855,0.2691165506839752,0.0,0.0,0,9.972358810560053,4.02647130945744,6.400185635154081,2.0482077420262934,10.2209724451568,1.3171846268729868,7.461631171266762,5.83642733852906,1.50832343516554,1.2217231110410849,0.9551556213327408,0.19326916041719117
2_7026_7864,0.18066617846488955,0.0,0.0,0.0,0.6449555158615112,0.0,0.0,0.1720777302980423,0.0,0.0,0.0,0.0,1,9.83912157007934,0.7785188037530641,4.235816612235393,2.7950517389456326,14.828998403026599,4.310100176481906,6.640860402330855,1.12194319486923,1.78576745506456,1.559978574424961,1.3736347753799,0.1375194514191659
2_7026_7872,0.08660022914409637,0.0,0.0,0.0,0.0,0.0,0.0,0.9112775325775146,0.0,0.0,0.0,0.0,1,9.68870752161819,3.86474151403082,5.36214480539389,1.6429106088669334,13.9085092310242,2.352487122342986,8.066360204981688,5.831734111404799,1.78576745506456,1.5184339913544882,1.1212841741198,0.17216607386137087
1_7026_7896,0.0,0.0,0.0,0.0,0.0,0.0,0.4499585032463074,0.0,0.0,0.0,0.0,0.5478252172470093,3,9.929935451365653,1.1309420469341,4.251935345817662,2.6921987782564947,14.555482593481695,4.004867751049075,6.525007041644586,1.64322577316076,1.78576745506456,1.5513888945139587,1.3736347753799,0.12983640413829756
1_7026_7901,0.0,0.0,0.0,0.0,0.0,0.0,0.9831842184066772,0.0,0.01515242177993059,0.0,0.0,0.0,3,9.933143489333439,4.817013930401259,6.207777442568335,1.1471742488784433,16.831706360887,2.6432084453483506,9.314368760051119,6.861106357304242,1.96870232652962,1.4907615857384349,1.08685332135527,0.22975567665259286
2_7029_7864,0.18384915590286252,0.0,0.15291668474674225,0.0,0.0,0.0,0.0,0.5476986169815063,0.0,0.0,0.11287949234247208,0.0,1,9.86300374272161,3.49460213799088,6.444169764896359,1.9618770678264352,10.9684288154456,3.0266163748453945,5.058544177157274,1.66450241488837,1.11331455406315,0.7438492937818136,0.36140148766270297,0.28663954807491465
2_7029_7872,0.07053242623806,0.0,0.11842836439609528,0.0,0.0,0.0,0.0,0.4021289348602295,0.0,0.0,0.4068116545677185,0.0,1,9.5670883586694,4.940632234342879,6.010981295097869,1.1544476963080605,9.42580473269097,1.271868793062303,6.252763878716613,4.8685500862178,1.11331455406315,1.0383530940318533,0.955308458706375,0.051681590767496725
1_7029_7896,0.0,0.0,0.0,0.1106421798467636,0.0,0.0,0.5949786901473999,0.0,0.13504014909267426,0.0,0.0,0.15712414681911469,3,9.539291823442287,1.10348884955701,5.092742381623495,2.504189425689152,10.1720437528054,2.9732534652551035,4.217878469659173,0.5849844977602471,1.11331455406315,0.7816083324968154,0.35899408484522,0.29709353151339707
1_7029_7901,0.0,0.0,0.0,0.0,0.0,0.0,0.7744095325469971,0.0,0.22355464100837708,0.0,0.0,0.0,3,9.800791665023901,5.996323744319401,7.559082501221436,1.1166112436684985,10.7874599321004,1.2151692388268303,7.713398943865221,6.38682844835135,1.11331455406315,1.0204082592805779,0.955308458706375,0.04329738622555885
2_7032_7864,0.2626568377017975,0.0,0.0,0.0,0.4590857625007629,0.0,0.0,0.2758964002132416,0.0,0.0,0.0,0.0,1,9.81835765360011,1.9073225479866296,5.19678282986955,2.5946729191490263,13.869904393676801,3.7760678314963654,6.5681199198463185,2.148705411325,1.41265014812239,1.2181984079419976,1.11479711197451,0.09756056347459227
